title,date,filename,link
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. Keysight India for the final year students of Ph.D./M.Tech./B.Tech./B.E. Electronics & Communication/Electrical 2025 batch. Last date for Registration is May 22, 2025 at 12 Noon..",21/05/2025,1747808397.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747808397.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. EPAM Systems India Private Limited for the students of M.Tech./B.Tech./Computer/AI/Any Computer Science Stream 2026 batch. Last date for Registration is May 26, 2025 at 09:00 AM.",21/05/2025,1747805123.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747805123.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s.Mevive International Trading Company for the final year students of M.Tech. Post Harvesting Engineering and Technology/B.Tech. Food Science & Technology/M.Sc./B.Sc. Agriculture / Horticulture/MBA (with UG Food Related Background Preferred) 2025 batch. Last date for Registration is May 23, 2025 at 09:00 AM.",20/05/2025,1747724224.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747724224.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. Kaiburr Systems for the final year students of B.Tech./B.E. All Branches 2025 batch. Last date for Registration is May 22, 2025 at 09:00 AM",20/05/2025,1747723833.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747723833.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. RR Global Limited for the final year students of Diploma (Mechanical and Electrical) 2025 batch. Last date for Registration is May 24, 2025 at 09:00 AM.",19/05/2025,1747640714.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747640714.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. Bharat Forge for the final year students of Diploma (Mechanical & Automobile) 2025 batch. Last date for Registration is May 24, 2025 at 09:00 AM.",19/05/2025,1747640532.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747640532.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. Uda Mandi Services Pvt. Ltd. for the final year and passout students of B.Tech. Che,ical and MBA (Finance) 2025 Batch/2024 batch/2023 Batch. Last date for Registration is May 23, 2025 at 09:00 AM.",17/05/2025,1747467362.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747467362.pdf
"TPO_ZHCET_Notice regarding registration of IBM Hackathon ""Parambh 2025 Hack Challenge Using AI to Empower Communities"". Last date for Registration is May 18, 2025.",16/05/2025,1747377123.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747377123.pdf
"TPO_ZHCET_Notice regarding registration for campus recruitment drive of M/s. Cambay Engineering for the final year and passout students of B.Tech./B.E.All Branches 2025 batch or 2024 batch. Last date for Registration is May 21, 2025 at 09:00 AM.",16/05/2025,1747376271.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747376271.pdf
"TPO_ZHCET_Notice regarding registration of M/s. RTS Manpower Solutions / ACSG Systems for the final year students of B. Tech./B.E. Electrical/Mechanical/Computer and Electronics 2025 batch. Last date for Registration is May 19, 2025 at 09:00 AM.. Note: Job Descriptions, please see on WhatsApp Group or Facebook Page (ZHCET Placement Update).",15/05/2025,1747295078.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747295078.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of FACE Prep for the final year students of M.Tech. Computer Science & Engineering (CSE), Data Science and Analytics, Cyber Security, Information Technology, Embedded Systems and M.Tech. Artificial Intelligence (AI) 2025 Batch). Last date for Registration is May 16, 2025.",13/05/2025,1747123659.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1747123659.pdf
"TPO_ZHCET_Notice regarding registration for Campus Recruitment Drive of M/s. Aviotron Aerospace Private Limited for the final year students of M.Tech./B.Tech./B.E. Mechanical/Mechatronics/Electronics/Electrical/ Computer Engineering/Artificial Intelligence (AI)/Aerospace 2025 batch. Last date for Registration is May 13, 2025 at 09:00 AMU.",08/05/2025,1746685330.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1746685330.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Edmyst New Horizons Private Limited for the final year students of B.Tech./B.E. All branches 2025 batch. Last date for Registration is April 19, 2025 at 09:00 AM",16/04/2025,1744789360.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1744789360.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Shubham Flexible Packaging Machines Private Limited for the final year students of B.Tech./B.E. Mechanical/Electrical and M.Tech. Mechatronics/Robotics & Automation 2025 batch. Last date for Registration is April 11, 2025 at 09:00 AM.",08/04/2025,1744090631.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1744090631.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Nisara Industries Private Limited, Aligarh for the final year 2025 batch and 2024 batch passout students of B.Tech. Food Technology and M.com/B.Com . Last date for Registration is March 27, 2025 at 09:00 AM.",24/03/2025,1742799396.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1742799396.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Zoom Communications Private Limited for the passout students of M.Tech. Electronics/Communication/Electrical/Computer/Radio Frequency. Last date for Registration is March 10, 2025 at 09:00 AM.",05/03/2025,1741156873.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1741156873.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Sobha Construction, Dubai for the passout students of Diploma in Mechanical/Civil Engineering 2024 batch. Last date for Registration is March 8, 2025 at 09:00 AM",04/03/2025,1741076298.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1741076298.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Cummins India Limited for the M.Tech. 2nd Semester (2026 batch) students for Internship. Last date for Registration is January 30, 2025 at 12:30 PM. Note: JD, please see on WhatsApp Groups.",29/01/2025,1738145843.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1738145843.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Newgen Software Technologies Limited (NewGensis) for the final year students of B.Tech./B.E. all branches 2025 batch. Last date for Registration is February 1, 2025 at 09:00 AM. Note: Newgen Snapshot/Corporate Brochure, please see om WhatsApp Groups or Facebook Page (ZHCET Placement Update).",29/01/2025,1738139200.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1738139200.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Engineers India Limited (EIL) for the final year students of M.Tech. 2025 batch. Last date for Registration is February 3, 2025. Note: Pay Package and about the company, please see on WhatsApp Groups or Facebook Page (ZHCET Placement Update).",28/01/2025,1738054509.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1738054509.pdf
"TPO_ZHCET_Notice regarding Registration for Campus Recruitment Drive of M/s. Engineers India Limited (EIL) for the final year students of B.Tech./B.E./B.Arch 2025 batch. Last date for Registration is February 3, 2025. Note: Pay Package and about the Company, please see on WhatsApp Groups or Facebook Page (ZHCET Placement Update).",28/01/2025,1738054228.pdf,https://api.amu.ac.in/storage//file/10166/notice-and-circular/1738054228.pdf
